year,icd_main_category,icd_detail_category,gender,death_age,death_count
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),F,20 - 29,1
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),F,60 - 64,3
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),F,65 - 69,1
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),F,85 and Over,3
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-004-Other intestinal infectious diseases(A01-A08),F,65 - 69,1
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-004-Other intestinal infectious diseases(A01-A08),F,80 - 84,2
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-004-Other intestinal infectious diseases(A01-A08),F,85 and Over,1
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-005-Respiratory tuberculosis(A15-A16),F,50 - 59,2
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-005-Respiratory tuberculosis(A15-A16),F,85 and Over,1
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-012-Septicaemia(A40-A41),F,40 - 49,1
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-012-Septicaemia(A40-A41),F,50 - 59,6
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-012-Septicaemia(A40-A41),F,60 - 64,4
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-012-Septicaemia(A40-A41),F,65 - 69,2
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-012-Septicaemia(A40-A41),F,70 - 74,1
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-012-Septicaemia(A40-A41),F,75 - 79,2
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-012-Septicaemia(A40-A41),F,80 - 84,2
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-012-Septicaemia(A40-A41),F,85 and Over,12
2021,1-001-Certain infection and parasitic diseases(A10-B99),"1-017-Other arthropod-borne viral fevers and viral haemorrhagic fevers(A90-A94,A96-A99)",F,50 - 59,1
2021,1-001-Certain infection and parasitic diseases(A10-B99),"1-017-Other arthropod-borne viral fevers and viral haemorrhagic fevers(A90-A94,A96-A99)",F,65 - 69,1
2021,1-001-Certain infection and parasitic diseases(A10-B99),"1-017-Other arthropod-borne viral fevers and viral haemorrhagic fevers(A90-A94,A96-A99)",F,80 - 84,1
2021,1-001-Certain infection and parasitic diseases(A10-B99),"1-017-Other arthropod-borne viral fevers and viral haemorrhagic fevers(A90-A94,A96-A99)",F,85 and Over,1
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-019-Viral hepatitis(B15-B19),F,50 - 59,1
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-019-Viral hepatitis(B15-B19),F,65 - 69,1
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,4,1
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,20 - 29,1
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,28 days - under 1 years,1
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,40 - 49,4
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,50 - 59,13
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,60 - 64,22
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,65 - 69,30
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,70 - 74,40
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,75 - 79,38
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,80 - 84,62
2021,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,85 and Over,147
2021,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,40 - 49,3
2021,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,50 - 59,12
2021,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,60 - 64,6
2021,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,65 - 69,7
2021,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,70 - 74,9
2021,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,75 - 79,3
2021,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,80 - 84,13
2021,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,85 and Over,8
2021,1-026-Neplasms(C00-D48),1-028-Malignant neoplasm of oesophagus(C15),F,40 - 49,2
2021,1-026-Neplasms(C00-D48),1-028-Malignant neoplasm of oesophagus(C15),F,50 - 59,2
2021,1-026-Neplasms(C00-D48),1-028-Malignant neoplasm of oesophagus(C15),F,60 - 64,2
